RMSE,MAE,Pearson_R,fold,test_case,n_train,n_test,feature_combo,model
11.65875489155254,7.936514821134179,0.5538996343205104,1,1,32683,752,SampEn,RF
14.254355521624756,10.142510417539798,0.48880440847989526,2,2,32458,977,SampEn,RF
12.414490260244724,8.076458369751746,0.44663459152342194,3,3,30821,2614,SampEn,RF
16.693847591259427,11.450753707741075,0.500601334472574,4,4,32656,779,SampEn,RF
14.773313040627439,10.068671635583916,0.512371867861372,5,5,32952,483,SampEn,RF
14.30834589585189,8.878549101831544,0.4639336762889209,6,6,32430,1005,SampEn,RF
12.989332001925911,9.189203231955588,0.17679624636507651,7,7,32225,1210,SampEn,RF
11.548487631887392,6.780665336258999,0.5517833059418757,8,8,31846,1589,SampEn,RF
23.44964902901956,14.87581038728681,-0.011241571969008782,9,9,32240,1195,SampEn,RF
11.370958059681836,8.175393786279033,0.7475303497890133,10,10,32196,1239,SampEn,RF
14.42367960111007,10.531183230635799,0.319435194175063,11,11,30753,2682,SampEn,RF
12.742880575130966,10.47104875343033,0.3916798390968544,12,12,29368,4067,SampEn,RF
19.02267483172169,13.027165755934679,0.4408619187368404,13,13,32617,818,SampEn,RF
18.4995549137072,12.412213719775073,0.31215937107354913,14,14,32812,623,SampEn,RF
12.340361846105495,7.420380887292797,0.3946584768587318,15,15,30799,2636,SampEn,RF
15.71126580418411,10.863441393859432,0.20281388745034634,16,16,32001,1434,SampEn,RF
10.959593437464651,6.371845992144355,0.6319296269387792,17,17,31916,1519,SampEn,RF
14.208605722798215,7.894524456857096,0.4275655198272054,18,18,32694,741,SampEn,RF
16.296091738407945,12.376842064583117,0.464932883817317,19,19,32564,871,SampEn,RF
12.713355139286312,8.865671192443735,0.30868941129068084,20,20,31486,1949,SampEn,RF
14.568499216371528,10.004159870610914,0.5124588779932834,21,21,31564,1871,SampEn,RF
21.23997226367243,14.107369711312344,0.1597278443614535,22,22,32973,462,SampEn,RF
15.695821123281355,10.064765981924289,0.5285135013513412,23,23,32271,1164,SampEn,RF
19.57945862577718,11.930501168330828,0.43536822096064104,24,24,32680,755,SampEn,RF
11.048437053102596,7.485317088188009,0.615378399031155,1,1,32683,752,SampEn,XGB
13.532304590866234,9.239728874901544,0.5239043479105017,2,2,32458,977,SampEn,XGB
11.832600126800704,7.629478241361042,0.4785835867649998,3,3,30821,2614,SampEn,XGB
16.338674988192373,11.197263876801125,0.5329855237615259,4,4,32656,779,SampEn,XGB
13.685542111017726,9.113905906959314,0.5819538630730918,5,5,32952,483,SampEn,XGB
13.941651322845647,8.387643694521776,0.4837341332610847,6,6,32430,1005,SampEn,XGB
12.47305691106878,8.498521722840868,0.18742879369578166,7,7,32225,1210,SampEn,XGB
11.195606019710416,6.716291467223699,0.590519728751701,8,8,31846,1589,SampEn,XGB
